,CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude,LatitudeNum,Latitide_upt,Latitide_diff
39,Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Sangitbaita BO,813203,BO,Delivery,BHAGALPUR,BIHAR,25.2562172,87.0066554,25.2562172,87.2628853,-62.0066681
100,Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Salempurtola BO,813209,BO,Delivery,BHAGALPUR,BIHAR,86.2645500,24.7553300,86.26455,25.3285,60.93605
107,Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Pharka BO,813210,BO,Delivery,BHAGALPUR,BIHAR,84.2010000,87.2010000,84.201,25.302,58.898999999999994
127,Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Patharghatta BO,813203,BO,Delivery,BHAGALPUR,BIHAR,25.2873053,87.2560803,25.2873053,87.2628853,-61.975579999999994
128,Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Shobhnathpur BO,813203,BO,Delivery,BHAGALPUR,BIHAR,25.2279357,87.2744230,25.2279357,87.2628853,-62.03494959999999
129,Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Laxmipur BO,813222,BO,Delivery,BHAGALPUR,BIHAR,86.5620000,24.3690000,86.562,24.623,61.93899999999999
135,Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Madhurapur BO,853203,BO,Delivery,BHAGALPUR,BIHAR,2.2798117,87.2941568,2.2798117,25.4067,-23.1268883
206,Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Akbarnagar BO,812006,BO,Delivery,BHAGALPUR,BIHAR,85.3330000,25.3650000,85.333,24.222,61.111
208,Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Chaknarayanpur BO,812006,BO,Delivery,BHAGALPUR,BIHAR,85.3630000,26.3630000,85.363,24.222,61.141
225,Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Duldulia BO,813209,BO,Delivery,BHAGALPUR,BIHAR,86.2645500,24.5166000,86.26455,25.3285,60.93605
229,Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Narayanpur BO,813209,BO,Delivery,BHAGALPUR,BIHAR,86.2645500,24.7553300,86.26455,25.3285,60.93605
236,Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Kiranpur BO,813108,BO,Delivery,BHAGALPUR,BIHAR,86.6522400,24.7553300,86.65224,24.8832,61.769040000000004
238,Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Laxmipur Chiraya BO,813108,BO,Delivery,BANKA,BIHAR,86.2645500,24.7553000,86.26455,24.8832,61.38135
342,Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Sahjadpur BO,813108,BO,Delivery,BHAGALPUR,BIHAR,86.6522400,24.8553300,86.65224,24.8832,61.769040000000004
347,Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Raugaon BO,813110,BO,Delivery,BANKA,BIHAR,25.3580000,86.2390000,25.358,87.0948,-61.7368
350,Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Shreepathas BO,813109,BO,Delivery,BANKA,BIHAR,86.6522400,24.1546800,86.65224,24.207,62.445240000000005
541,Bihar Circle,"East Region, Bhagalpur",Munger Division,Khabra BO,813212,BO,Delivery,MUNGER,BIHAR,24.5550000,85.2580000,24.555,86.123,-61.568000000000005
918,Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Phulakia BO,853205,BO,Delivery,BHAGALPUR,BIHAR,86.2645500,24.7553300,86.26455,24.306,61.95855
921,Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Kumri BO,813212,BO,Delivery,BANKA,BIHAR,25.3650000,86.3210000,25.365,86.123,-60.75800000000001
1258,Bihar Circle,Muzaffarpur Region,Madhubani Division,Teghra BO,847227,BO,Delivery,MADHUBANI,BIHAR,86.3730615,26.4089424,86.3730615,26.2566339,60.11642760000001
1538,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Rupauli Ghat BO,846003,BO,Delivery,DARBHANGA,BIHAR,15.5934000,85.3407000,15.5934,25.5974,-10.004
1541,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Salempur Lagma BO,847427,BO,Delivery,DARBHANGA,BIHAR,15.5934000,86.2284000,15.5934,25.9564,-10.362999999999998
1605,Chattisgarh Circle,DivReportingCircle,Bastar Division,Dundabedma,494230,BO,Delivery,KONDAGAON,CHHATTISGARH,91.9144,81.7012,91.9144,19.9647,71.9497
1932,Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Gopalpur BO,813107,BO,Delivery,BANKA,BIHAR,86.2645500,24.7553500,86.26455,24.201,62.06355
1965,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Sisodih BO,846005,BO,Delivery,DARBHANGA,BIHAR,15.5934000,85.9297000,15.5934,26.5714,-10.978
2016,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Inai BO,847105,BO,Delivery,DARBHANGA,BIHAR,25.7809000,84.6836000,25.7809,15.5934,10.187499999999998
2017,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Kothra BO,847105,BO,Delivery,DARBHANGA,BIHAR,25.9142000,85.7646000,25.9142,15.5934,10.3208
2023,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Sonpur BO,847203,BO,Delivery,DARBHANGA,BIHAR,15.5934000,86.1691000,15.5934,25.91,-10.3166
2089,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Reorha BO,847302,BO,Delivery,DARBHANGA,BIHAR,15.5934000,85.9146000,15.5934,25.7666,-10.1732
2207,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Sonki BO,846009,BO,Delivery,DARBHANGA,BIHAR,15.5934000,86.0015000,15.5934,26.1074,-10.513999999999998
2210,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Tarsarai BO,847115,BO,Delivery,DARBHANGA,BIHAR,15.5934000,86.0318000,15.5934,26.1957,-10.602299999999998
2215,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Sonhaun BO,846005,BO,Delivery,DARBHANGA,BIHAR,15.5934000,85.9297000,15.5934,26.5714,-10.978
2222,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Shivram BO,847101,BO,Delivery,DARBHANGA,BIHAR,15.5934000,86.0544000,15.5934,25.9169,-10.323499999999997
2223,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Sidhauli BO,847101,BO,Delivery,DARBHANGA,BIHAR,15.5934000,84.1982000,15.5934,25.9169,-10.323499999999997
2224,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Sirua Maner BO,847101,BO,Delivery,DARBHANGA,BIHAR,15.5934000,85.6515000,15.5934,25.9169,-10.323499999999997
2225,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Srirampur BO,847101,BO,Delivery,DARBHANGA,BIHAR,15.5934000,85.3486000,15.5934,25.9169,-10.323499999999997
2226,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Arga BO,847105,BO,Delivery,DARBHANGA,BIHAR,25.9142000,85.7646000,25.9142,15.5934,10.3208
2227,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Baghauni BO,847105,BO,Delivery,DARBHANGA,BIHAR,25.9938000,86.0590000,25.9938,15.5934,10.4004
2228,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Bakmandal BO,847105,BO,Delivery,DARBHANGA,BIHAR,25.9142000,85.7645000,25.9142,15.5934,10.3208
2292,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Ratanpura BO,847106,BO,Delivery,DARBHANGA,BIHAR,15.5934000,86.7213000,15.5934,25.626,-10.0326
2293,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Sarwara BO,847106,BO,Delivery,DARBHANGA,BIHAR,15.5934000,84.9615000,15.5934,25.626,-10.0326
2296,Bihar Circle,Muzaffarpur Region,Darbhanga Division,SLalganj BO,847121,BO,Delivery,DARBHANGA,BIHAR,15.5934000,86.1225000,15.5934,26.6035,-11.0101
2297,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Singhaso BO,847121,BO,Delivery,DARBHANGA,BIHAR,15.5934000,86.1225000,15.5934,26.6035,-11.0101
2302,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Telhan BO,847115,BO,Delivery,DARBHANGA,BIHAR,15.5934000,85.7356000,15.5934,26.1957,-10.602299999999998
2483,Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Srimaha BO,853204,BO,Delivery,PURNIA,BIHAR,87.0938000,24.7553300,87.0938,25.2153,61.8785
2754,Andhra Pradesh Circle,Visakhapatnam Region,Parvathipuram Division,Yenduva B.O,532148,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7817,83.4268,18.7817,83.1426,-64.3609
2862,Telangana Circle,Hyderabad Region,Nizamabad Division,Ranampalli B.O,503188,BO,Delivery,NIZAMABAD,TELANGANA,18.5940373,77.8670915,18.5940373,83.6118,-65.0177627
2919,Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Agraharam B.O,515154,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,114.1993,77.801,114.1993,14.1998,99.9995
2992,Bihar Circle,Muzaffarpur Region,Darbhanga Division,SDangarwara BO,847306,BO,Delivery,DARBHANGA,BIHAR,15.5934000,85.8955000,15.5934,25.8642,-10.2708
2997,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Mahwa BO,847202,BO,Delivery,DARBHANGA,BIHAR,41.0886220,74.1435840,41.088622,26.198944,14.889678
