,org_pin,dst_pin,po_del,len,wid,dep,vol_wt,act_wt,obj_cost,service,period,price,gstPer,basePrice,gst,charge_wt,min_price,eddDays,org_state,org_lat,org_long,org_hasMetroCity,org_isSpecialDest,org_po_del,dst_state,dst_lat,dst_long,dst_hasMetroCity,dst_isSpecialDest,dst_po_del
0,600032,686503,1,22.86,15.24,7.62,530,1273,20581,STD EXP-A,4 - 5 Day/s,240,18,240,37,1273,240,5,TAMILNADU,13.03594445,80.20866665,1,0,False,KERALA,9.6051655,76.671168,0,0,True
1,362225,686503,1,22.0,11.5,7.5,380,428,18639,STD EXP-A,6 - 7 Day/s,190,18,190,29,428,190,7,GUJARAT,21.148343,70.14098849999999,0,0,True,KERALA,9.6051655,76.671168,0,0,True
2,600032,620002,0,17.7,10.1,10.1,361,187,19663,STD EXP-A,2 - 3 Day/s,100,18,100,15,362,100,3,TAMILNADU,13.03594445,80.20866665,1,0,False,TAMILNADU,10.8263333,78.69592,1,0,False
3,110037,620002,0,34.0,33.0,35.0,7854,4697,12818,GROUND EXPRESS,5 - 6 Day/s,1125,18,1125,172,8268,1125,6,DELHI,28.54,77.1155277,1,0,False,TAMILNADU,10.8263333,78.69592,1,0,False
4,110043,620002,0,27.7,20.9,22.5,2605,1882,8726,PREMIUM,2 Day/s,1605,18,1605,245,2606,1605,2,DELHI,28.60412,76.979822,1,0,False,TAMILNADU,10.8263333,78.69592,1,0,False
5,600032,770046,1,30.0,30.0,10.0,1800,1216,7547,PREMIUM,5 Day/s,1115,18,1115,170,1800,1115,5,TAMILNADU,13.03594445,80.20866665,1,0,False,ODISHA,22.403882,84.859261,0,0,True
6,600032,140417,1,41.7,35.9,36.9,11048,9905,15856,GROUND EXPRESS,6 - 7 Day/s,1500,18,1500,229,11630,1500,7,TAMILNADU,13.03594445,80.20866665,1,0,False,PUNJAB,30.4366111,76.6833333,0,0,True
7,600032,641025,0,22.0,11.5,7.5,380,750,17991,STD EXP-A,2 - 3 Day/s,150,18,150,23,750,150,3,TAMILNADU,13.03594445,80.20866665,1,0,False,TAMILNADU,11.03766455,76.92874845,1,0,False
8,600032,734203,0,22.0,11.5,7.5,380,196,9588,PREMIUM,4 Day/s,380,18,380,58,380,380,4,TAMILNADU,13.03594445,80.20866665,1,0,False,WESTBENGAL,26.95717955,88.26508749999999,1,0,False
9,480441,734203,1,33.7,32.2,18.0,3900,4527,22624,PREMIUM,5 Day/s,2585,18,2585,394,4527,2585,5,MADHYAPRADESH,22.200581,78.812779,0,0,True,WESTBENGAL,26.95717955,88.26508749999999,1,0,False
10,600032,763008,1,34.0,33.0,35.0,7854,5602,3230,GROUND EXPRESS,6 - 7 Day/s,1125,18,1125,172,8268,1125,7,TAMILNADU,13.03594445,80.20866665,1,0,False,ODISHA,18.76272165,82.9278316,0,0,True
