,org_pin,dst_pin,dst_state,po_del,vol_wt,act_wt,obj_cost,service,period,price,gstPer,basePrice,gst,charge_wt,org_lat,org_long,org_hasMetroCity,org_isSpecialDest,org_po_del,org_state,dst_state1,dst_lat,dst_long,dst_hasMetroCity,dst_isSpecialDest,dst_po_del
0,600032,686503,KERALA,1,530,1273,20581,PREMIUM,4 Day/s,565,18,565,86,1273,13.03594445,80.20866665,1,0,0,TAMILNADU,KERALA,9.6051655,76.671168,0,0,1
1,600032,620002,TAMILNADU,0,361,187,19663,PREMIUM,1 Day/s,220,18,220,34,362,13.03594445,80.20866665,1,0,0,TAMILNADU,TAMILNADU,10.8263333,78.69592,1,0,0
2,600032,770046,ODISHA,1,1800,1216,7547,PREMIUM,5 Day/s,1115,18,1115,170,1800,13.03594445,80.20866665,1,0,0,TAMILNADU,ODISHA,22.403882,84.859261,0,0,1
3,600032,140417,PUNJAB,1,11048,9905,15856,PREMIUM,4 Day/s,4620,18,4620,705,11049,13.03594445,80.20866665,1,0,0,TAMILNADU,PUNJAB,30.4366111,76.6833333,0,0,1
4,600032,641025,TAMILNADU,0,380,750,17991,PREMIUM,1 Day/s,305,18,305,47,750,13.03594445,80.20866665,1,0,0,TAMILNADU,TAMILNADU,11.03766455,76.92874845,1,0,0
5,600032,734203,WESTBENGAL,0,380,196,9588,PREMIUM,4 Day/s,380,18,380,58,380,13.03594445,80.20866665,1,0,0,TAMILNADU,WESTBENGAL,26.95717955,88.26508749999999,1,0,0
6,600032,763008,ODISHA,1,7854,5602,3230,PREMIUM,5 Day/s,4055,18,4055,619,7854,13.03594445,80.20866665,1,0,0,TAMILNADU,ODISHA,18.76272165,82.9278316,0,0,1
7,600032,695029,KERALA,1,380,465,12242,PREMIUM,2 Day/s,305,18,305,47,465,13.03594445,80.20866665,1,0,0,TAMILNADU,KERALA,8.5,76.92,0,0,1
8,600032,276127,UTTARPRADESH,1,20295,23293,2922,PREMIUM,7 Day/s,9240,18,9240,1409,23293,13.03594445,80.20866665,1,0,0,TAMILNADU,UTTARPRADESH,21.6097,69.1269,0,0,1
9,600032,276127,UTTARPRADESH,1,20295,16093,4809,PREMIUM,7 Day/s,8085,18,8085,1233,20295,13.03594445,80.20866665,1,0,0,TAMILNADU,UTTARPRADESH,21.6097,69.1269,0,0,1
10,452016,276127,UTTARPRADESH,1,657,1019,6101,PREMIUM,8 Day/s,870,18,870,133,1019,22.7223889,76.030487,0,0,0,MADHYAPRADESH,UTTARPRADESH,21.6097,69.1269,0,0,1
11,600032,382110,GUJARAT,1,11048,15475,21630,PREMIUM,3 Day/s,6160,18,6160,940,15475,13.03594445,80.20866665,1,0,0,TAMILNADU,GUJARAT,22.92,72.24,0,0,1
12,600032,209305,UTTARPRADESH,1,15118,11932,1718,PREMIUM,7 Day/s,6160,18,6160,940,15119,13.03594445,80.20866665,1,0,0,TAMILNADU,UTTARPRADESH,26.83895,79.53646,0,0,1
13,600032,782402,ASSAM,1,657,1059,13569,PREMIUM,4 Day/s,870,18,870,133,1059,13.03594445,80.20866665,1,0,0,TAMILNADU,ASSAM,26.0723,91.5813,0,1,1
14,600032,782402,ASSAM,1,657,207,19617,PREMIUM,4 Day/s,625,18,625,95,658,13.03594445,80.20866665,1,0,0,TAMILNADU,ASSAM,26.0723,91.5813,0,1,1
15,600032,125076,HARYANA,1,329,621,13966,PREMIUM,4 Day/s,625,18,625,95,621,13.03594445,80.20866665,1,0,0,TAMILNADU,HARYANA,29.5235833,74.8406388,0,0,1
16,600032,673308,KERALA,1,11048,7736,20514,PREMIUM,2 Day/s,2460,18,2460,375,11049,13.03594445,80.20866665,1,0,0,TAMILNADU,KERALA,11.66,75.58,0,0,1
17,600032,673308,KERALA,1,11048,10637,13503,PREMIUM,2 Day/s,2460,18,2460,375,11049,13.03594445,80.20866665,1,0,0,TAMILNADU,KERALA,11.66,75.58,0,0,1
18,600032,670705,KERALA,1,657,701,21502,PREMIUM,2 Day/s,435,18,435,66,701,13.03594445,80.20866665,1,0,0,TAMILNADU,KERALA,12.055,75.655,0,0,1
19,600032,243203,UTTARPRADESH,1,329,561,3176,PREMIUM,8 Day/s,625,18,625,95,561,13.03594445,80.20866665,1,0,0,TAMILNADU,UTTARPRADESH,28.578898,79.548788,0,0,1
20,600032,752082,ODISHA,1,70,412,21073,PREMIUM,8 Day/s,305,18,305,47,412,13.03594445,80.20866665,1,0,0,TAMILNADU,ODISHA,20.0812537,84.9236817,0,0,1
21,600032,752082,ODISHA,1,70,522,22772,PREMIUM,8 Day/s,435,18,435,66,522,13.03594445,80.20866665,1,0,0,TAMILNADU,ODISHA,20.0812537,84.9236817,0,0,1
22,600032,461001,MADHYAPRADESH,0,329,97,11384,PREMIUM,5 Day/s,380,18,380,58,330,13.03594445,80.20866665,1,0,0,TAMILNADU,MADHYAPRADESH,22.7525206,77.795709,0,0,0
23,600032,461001,MADHYAPRADESH,0,329,793,1149,PREMIUM,5 Day/s,625,18,625,95,793,13.03594445,80.20866665,1,0,0,TAMILNADU,MADHYAPRADESH,22.7525206,77.795709,0,0,0
24,793001,461001,MADHYAPRADESH,0,3900,1262,16757,PREMIUM,5 Day/s,2095,18,2095,320,3907,25.576308335,91.889030555,0,1,0,MEGHALAYA,MADHYAPRADESH,22.7525206,77.795709,0,0,0
25,600032,500008,TELANGANA,0,361,957,2277,PREMIUM,1 Day/s,435,18,435,66,957,13.03594445,80.20866665,1,0,0,TAMILNADU,TELANGANA,17.63905556,78.6665,1,0,0
26,600032,721632,WESTBENGAL,1,321,697,2563,PREMIUM,4 Day/s,625,18,625,95,697,13.03594445,80.20866665,1,0,0,TAMILNADU,WESTBENGAL,23.1444,87.898,1,0,1
27,600032,209870,UTTARPRADESH,1,2605,1416,23252,PREMIUM,7 Day/s,1605,18,1605,245,2606,13.03594445,80.20866665,1,0,0,TAMILNADU,UTTARPRADESH,26.7867825,80.495652,0,0,1
28,600032,721659,WESTBENGAL,1,15118,9252,10685,PREMIUM,4 Day/s,6160,18,6160,940,15119,13.03594445,80.20866665,1,0,0,TAMILNADU,WESTBENGAL,22.0894444,88.0291,1,0,1
29,600032,480106,MADHYAPRADESH,1,380,34,23488,PREMIUM,7 Day/s,380,18,380,58,380,13.03594445,80.20866665,1,0,0,TAMILNADU,MADHYAPRADESH,21.652616,78.83065500000001,0,0,1
