,org_pin,dst_pin,po_del,len,wid,dep,vol_wt,act_wt,obj_cost,service,period,price,gstPer,basePrice,gst,charge_wt,org_state,org_lat,org_long,org_hasMetroCity,org_isSpecialDest,org_po_del,dst_state,dst_lat,dst_long,dst_hasMetroCity,dst_isSpecialDest,dst_po_del
0,600032,686503,1,22.86,15.24,7.62,530,1273,20581,PREMIUM,4 Day/s,565,18,565,86,1273,TAMILNADU,13.03594445,80.20866665,1,0,False,KERALA,9.6051655,76.671168,0,0,True
1,362225,686503,1,22.0,11.5,7.5,380,428,18639,PREMIUM,5 Day/s,380,18,380,58,428,GUJARAT,21.148343,70.14098849999999,0,0,True,KERALA,9.6051655,76.671168,0,0,True
2,600032,620002,0,17.7,10.1,10.1,361,187,19663,PREMIUM,1 Day/s,220,18,220,34,362,TAMILNADU,13.03594445,80.20866665,1,0,False,TAMILNADU,10.8263333,78.69592,1,0,False
3,110037,620002,0,34.0,33.0,35.0,7854,4697,12818,PREMIUM,2 Day/s,4055,18,4055,619,7854,DELHI,28.54,77.1155277,1,0,False,TAMILNADU,10.8263333,78.69592,1,0,False
4,110037,620002,0,34.0,33.0,35.0,7854,4370,5715,PREMIUM,2 Day/s,4055,18,4055,619,7854,DELHI,28.54,77.1155277,1,0,False,TAMILNADU,10.8263333,78.69592,1,0,False
5,110043,620002,0,27.7,20.9,22.5,2605,1882,8726,PREMIUM,2 Day/s,1605,18,1605,245,2606,DELHI,28.60412,76.979822,1,0,False,TAMILNADU,10.8263333,78.69592,1,0,False
6,600032,770046,1,30.0,30.0,10.0,1800,1216,7547,PREMIUM,5 Day/s,1115,18,1115,170,1800,TAMILNADU,13.03594445,80.20866665,1,0,False,ODISHA,22.403882,84.859261,0,0,True
7,600032,140417,1,41.7,35.9,36.9,11048,9905,15856,PREMIUM,4 Day/s,4620,18,4620,705,11049,TAMILNADU,13.03594445,80.20866665,1,0,False,PUNJAB,30.4366111,76.6833333,0,0,True
8,600032,641025,0,22.0,11.5,7.5,380,750,17991,PREMIUM,1 Day/s,305,18,305,47,750,TAMILNADU,13.03594445,80.20866665,1,0,False,TAMILNADU,11.03766455,76.92874845,1,0,False
9,600032,734203,0,22.0,11.5,7.5,380,196,9588,PREMIUM,4 Day/s,380,18,380,58,380,TAMILNADU,13.03594445,80.20866665,1,0,False,WESTBENGAL,26.95717955,88.26508749999999,1,0,False
10,480441,734203,1,33.7,32.2,18.0,3900,4527,22624,PREMIUM,5 Day/s,2585,18,2585,394,4527,MADHYAPRADESH,22.200581,78.812779,0,0,True,WESTBENGAL,26.95717955,88.26508749999999,1,0,False
11,600032,763008,1,34.0,33.0,35.0,7854,5602,3230,PREMIUM,5 Day/s,4055,18,4055,619,7854,TAMILNADU,13.03594445,80.20866665,1,0,False,ODISHA,18.76272165,82.9278316,0,0,True
12,600032,695029,1,22.0,11.5,7.5,380,465,12242,PREMIUM,2 Day/s,305,18,305,47,465,TAMILNADU,13.03594445,80.20866665,1,0,False,KERALA,8.5,76.92,0,0,True
13,110002,695029,1,34.0,33.0,35.0,7854,5009,18351,PREMIUM,2 Day/s,4055,18,4055,619,7854,DELHI,28.63391665,77.24191665000001,1,0,False,KERALA,8.5,76.92,0,0,True
14,110002,695029,1,34.0,33.0,35.0,7854,6948,19410,PREMIUM,2 Day/s,4055,18,4055,619,7854,DELHI,28.63391665,77.24191665000001,1,0,False,KERALA,8.5,76.92,0,0,True
15,600032,276127,1,55.0,45.0,41.0,20295,23293,2922,PREMIUM,7 Day/s,9240,18,9240,1409,23293,TAMILNADU,13.03594445,80.20866665,1,0,False,UTTARPRADESH,21.6097,69.1269,0,0,True
16,600032,276127,1,55.0,45.0,41.0,20295,16093,4809,PREMIUM,7 Day/s,8085,18,8085,1233,20295,TAMILNADU,13.03594445,80.20866665,1,0,False,UTTARPRADESH,21.6097,69.1269,0,0,True
17,452016,276127,1,21.0,10.1,15.5,657,1019,6101,PREMIUM,8 Day/s,870,18,870,133,1019,MADHYAPRADESH,22.7223889,76.030487,0,0,False,UTTARPRADESH,21.6097,69.1269,0,0,True
18,629164,276127,1,33.0,25.0,35.0,5775,2881,16807,PREMIUM,8 Day/s,3075,18,3075,469,5775,TAMILNADU,8.294611100000001,77.30379165,1,0,True,UTTARPRADESH,21.6097,69.1269,0,0,True
19,560026,276127,0,22.86,15.24,7.62,530,1225,17203,PREMIUM,7 Day/s,870,18,870,133,1225,KARNATAKA,12.949414,77.5363315,1,0,False,UTTARPRADESH,21.6097,69.1269,0,0,True
