Pincode,Latitude
110001,"['28.2348611' '28.6100000' '28.6105833' '28.6158611' '28.6159444'
 '28.6164444' '28.6165000' '28.6167500' '28.6174166' '28.6174167'
 '28.6178889' '28.6198611' '28.6212222' '28.6225833' '28.6237778'
 '28.6268060' '28.6286944' '28.6310000' '28.6327' '28.6330556'
 '28.6331389' '28.6348889' '28.6433611']"
110002,28.6284722
110003,"['28.5765440' '28.5859167' '28.5868333' '28.5872500' '28.5889167'
 '28.5896111' '28.5900000' '28.6058889' '28.6092222' '28.6317778']"
110004,28.6210833
110005,28.6500278
110006,"['28.635313' '28.6498056' '28.6502222' '28.6511389' '28.6557222'
 '28.6564722' '28.6579722' '28.6594167']"
110007,"['28.6299170' '28.6674540' '28.6689444' '28.6736944' '28.6765833'
 '28.6766111' '28.6784980' '28.6799300' '28.6808650' '28.6872778'
 '28.6897500']"
110008,['28.6225833' '28.6452500' '28.6453611' '28.6472222' '28.6527778']
110009,"['28.6955833' '28.698444' '28.6984440' '28.6984444' '28.7062778'
 '28.7075278' '28.7108611' '28.7152500']"
110010,"['28.5700000' '28.5750833' '28.5760278' '28.5778333' '28.5832500'
 '28.5845000' '28.5956944' '28.5957222' '28.5988889' '28.6014167'
 '28.6147778' '77.1300000' '77.1500000']"
110011,['28.6108611' '28.6111111']
110012,['28.6320278' '28.6368611' '28.6401944']
110013,['28.5877500' '28.5912222']
110014,['28.5700000' '28.5800000' '28.5829444' '28.5838611']
110015,"['28.6485278' '28.6498611' '28.6541389' '28.6591944' '28.6623450'
 '28.6645556' '28.6659722']"
110016,"['28.5373056' '28.5380278' '28.5428611' '28.5489444' '28.5512222'
 '28.5558611']"
110017,"['28.5229820' '28.5229840' '28.5245556' '28.5288420' '28.5346389'
 '28.5376540' '28.5400000' '28.5441340']"
110018,"['24.8671830' '28.6333056' '28.6346389' '28.6365870' '28.6396389'
 '28.6396667' '28.6463611' '28.6471389' '28.6498611' '28.6569167'
 '28.6573333' '28.6576111']"
110019,['28.5256389' '28.5403056' '28.5431667' '28.5498056']
110020,['28.5200000' '28.5432820' '28.5521111' '28.5577222' '77.2751490']
110021,"['28.5787222' '28.5807778' '28.5829722' '28.5943889' '28.6040833'
 '28.6139722']"
110022,"['28.5550000' '28.5551111' '28.5600000' '28.5615556' '28.5643889'
 '28.5701944' '28.5706389' '28.5722222']"
110023,['28.5712778' '28.5719444' '28.5758333' '28.5784167' '77.1900000']
110024,['28.5381667' '28.5631667' '28.5740556' '28.5800000']
110025,['28.5425556' '28.5561944' '28.5613611' '28.5618611' '28.5671667']
110026,['28.6198611' '28.6678611' '28.6713889' '28.6732320']
110027,"['28.6371111' '28.6404460' '28.6426944' '28.6427222' '28.6455278'
 '28.6467222']"
110028,['28.6305000' '28.6321410']
110029,['28.5649167' '28.5685556' '28.6330278']
110030,28.5176111
110031,"['28.6530000' '28.6592500' '28.6606111' '28.6628333' '28.6646111'
 '28.6921111' '28.6922500']"
110032,['28.6546944' '28.6739166']
110033,28.7277500
110034,28.6972778
110035,28.6921111
110036,28.7978055
110037,['28.5302777' '28.5302778' '28.5400000' '28.5556389' '28.5745556']
110038,['28.5193889' '28.5200000']
110039,28.7996944
110040,28.8508055
110041,28.6823140
110042,28.7441111
110043,"['24.8715350' '28.4410000' '28.5209050' '28.5647260' '28.5647620'
 '28.5803200' '28.5925360' '28.5971220' '28.6026260' '28.6056140'
 '28.6099740' '28.6122970' '28.6222240' '28.6397830' '28.6413610'
 '28.6466280' '30.0444200' '31.7747490']"
110044,28.5300000
110045,['17.4136550' '28.5911667' '28.5964620' '28.5971760' '28.6096750']
110046,28.6110556
110047,['28.4400000' '28.4600000' '28.4797777' '28.4797778']
110048,['28.5376667' '28.5404722' '28.5471667']
110049,"['28.5500000' '28.5571944' '28.5578611' '28.5617090' '28.5640278'
 '28.5662090']"
110051,['28.6453611' '28.6457222' '28.6592500' '28.6922500']
110052,['28.6700810' '28.6726389' '28.6797500' '28.6930833' '28.6933611']
110053,28.6922500
110054,['28.6624167' '28.6670940' '28.6975570' '28.7032778' '28.7060278']
