iter	RMSE
0	0.9995301469
1	0.949190192
2	0.9030901624
3	0.8595101947
4	0.8183922577
5	0.7814229619
6	0.7469120627
7	0.7159116534
8	0.6853573128
9	0.6595319574
10	0.6337377732
11	0.6096315602
12	0.588118563
13	0.5670659472
14	0.5482142042
15	0.530100883
16	0.5135484666
17	0.4985126302
18	0.4852425706
19	0.4737600296
20	0.4618026534
21	0.451128819
22	0.4419490577
23	0.4333879138
24	0.4248648865
25	0.4171972653
26	0.410498923
27	0.4043486012
28	0.3989405129
29	0.3937944877
30	0.3886638759
31	0.3842826427
32	0.3802879218
33	0.3765527403
34	0.3733089144
35	0.3703676773
36	0.3676580882
37	0.3648526862
38	0.3615750159
39	0.3592816681
40	0.3571635103
41	0.3547430294
42	0.3529623869
43	0.3506373461
44	0.3485058376
45	0.3463970782
46	0.3434755587
47	0.3420026242
48	0.3405683319
49	0.3387629014
50	0.3376310186
51	0.3365049365
52	0.334710147
53	0.3337580391
54	0.3329244938
55	0.3320502401
56	0.3310753118
57	0.3301116265
58	0.3282689519
59	0.3275450266
60	0.3259497369
61	0.3248995265
62	0.3224426224
63	0.3214446782
64	0.3207396437
65	0.3200705193
66	0.319610998
67	0.3188402419
68	0.317977041
69	0.316858556
70	0.3156221303
71	0.3152498146
72	0.3147180738
73	0.3141522801
74	0.3133297761
75	0.3127739853
76	0.311748615
77	0.3113845542
78	0.3106174315
79	0.3102226966
80	0.3096428545
81	0.309402025
82	0.3083244705
83	0.3077039818
84	0.3069924662
85	0.3061672503
86	0.3046090346
87	0.3035794185
88	0.3031008391
89	0.3024977569
90	0.3021687361
91	0.3017224073
92	0.3012516141
93	0.3004635431
94	0.2997047322
95	0.2991930124
96	0.2988201861
97	0.2985689251
98	0.2980318323
99	0.2977052117
100	0.2973652889
101	0.2971036387
102	0.2967047499
103	0.2956985422
104	0.295295292
105	0.2949977887
106	0.294488133
107	0.2942187893
108	0.2935615161
109	0.2931462879
110	0.2925082377
111	0.2913575361
112	0.2910848517
113	0.2908093428
114	0.2903526566
115	0.2901879617
116	0.2898890344
117	0.2894776376
118	0.289166524
119	0.2889782639
120	0.2887613365
121	0.2882778524
122	0.2878345128
123	0.2867893558
124	0.2863451062
125	0.2860325986
126	0.2856985143
127	0.2854478522
128	0.2852230126
129	0.2846441707
130	0.2843683234
131	0.2840842313
132	0.2840015021
133	0.2834718072
134	0.2833002882
135	0.2830633003
136	0.2826964659
137	0.2821135539
138	0.2818392039
139	0.2815530075
140	0.2812370113
141	0.2807941922
142	0.2805687562
143	0.2800947017
144	0.2798235902
145	0.2794744112
146	0.2792279309
147	0.27871272
148	0.2781824384
149	0.2778865876
150	0.2776189718
151	0.277111266
152	0.276792877
153	0.276503265
154	0.276160338
155	0.2759880805
156	0.2755675777
157	0.2748555726
158	0.2746457317
159	0.2743645936
160	0.2740039887
161	0.2737941445
162	0.2734932718
163	0.2731625495
164	0.2727980615
165	0.2725971916
166	0.2722709734
167	0.2720151033
168	0.2716690266
169	0.2713299995
170	0.2710457602
171	0.270700987
172	0.2702631584
173	0.2696216406
174	0.2693997446
175	0.269025179
176	0.2688321986
177	0.2684261584
178	0.2682862375
179	0.2681478243
180	0.2678395266
181	0.2675526327
182	0.2673190894
183	0.2671927304
184	0.2669451245
185	0.2665672719
186	0.2663452873
187	0.2661510134
188	0.2659575089
189	0.2657422557
190	0.2653840153
191	0.2650761238
192	0.2648485841
193	0.2644685056
194	0.2642556366
195	0.2630890607
196	0.2628972914
197	0.262758557
198	0.2624766003
199	0.2618979707
200	0.2616017495
201	0.2614773845
202	0.2611048958
203	0.260190124
204	0.2596220636
205	0.2594693051
206	0.2591414851
207	0.2588351837
208	0.2586577176
209	0.2584510182
210	0.2580060003
211	0.2578132342
212	0.2575964781
213	0.2574374238
214	0.2571829368
215	0.2568983415
216	0.2562847965
217	0.2561258799
218	0.255872516
