iter	Passed	Remaining
0	58	58377
1	59	29747
2	61	20276
3	62	15518
4	63	12683
5	65	10780
6	66	9440
7	67	8424
8	69	7631
9	70	7005
10	72	6480
11	73	6052
12	74	5684
13	75	5351
14	77	5084
15	78	4843
16	80	4644
17	81	4455
18	83	4291
19	84	4134
20	85	3995
21	87	3870
22	88	3752
23	89	3645
24	91	3549
25	92	3462
26	93	3375
27	95	3300
28	96	3226
29	97	3165
30	99	3100
31	100	3036
32	101	2976
33	102	2923
34	103	2867
35	105	2819
36	106	2774
37	107	2729
38	109	2688
39	110	2648
40	111	2610
41	112	2575
42	114	2556
43	116	2526
44	117	2496
45	118	2466
46	120	2438
47	121	2410
48	122	2384
49	124	2359
50	125	2336
51	126	2312
52	128	2295
53	129	2272
54	131	2252
55	132	2236
56	133	2216
57	135	2196
58	136	2178
59	137	2160
60	139	2143
61	140	2125
62	141	2108
63	143	2093
64	144	2077
65	145	2062
66	146	2045
67	148	2029
68	149	2015
69	150	2001
70	151	1986
71	153	1975
72	154	1961
73	155	1949
74	156	1935
75	158	1924
76	159	1913
77	161	1904
78	162	1892
79	163	1879
80	164	1869
81	166	1860
82	167	1849
83	168	1840
84	170	1831
85	171	1821
86	172	1813
87	174	1804
88	175	1795
89	176	1786
90	178	1779
91	179	1769
92	180	1761
93	181	1753
94	183	1744
95	184	1735
96	185	1726
97	186	1718
98	188	1712
99	189	1705
100	191	1701
101	192	1694
102	193	1686
103	194	1677
104	196	1671
105	197	1665
106	198	1660
107	200	1655
108	201	1650
109	203	1645
110	204	1639
111	205	1632
112	207	1628
113	209	1625
114	210	1621
115	211	1615
116	213	1611
117	214	1605
118	216	1601
119	217	1596
120	219	1592
121	220	1586
122	221	1581
123	223	1576
124	224	1571
125	225	1565
126	227	1562
127	228	1556
128	229	1551
129	231	1547
130	232	1542
131	233	1537
132	235	1532
133	236	1528
134	237	1523
135	239	1518
136	240	1513
137	241	1508
138	242	1504
139	244	1499
140	245	1494
141	246	1491
142	248	1488
143	250	1487
144	251	1484
145	253	1480
146	254	1476
147	255	1473
148	257	1468
149	258	1464
150	259	1460
151	261	1456
152	262	1452
153	263	1450
154	265	1446
155	266	1443
156	268	1439
157	269	1436
158	271	1434
159	272	1430
160	273	1427
161	275	1424
162	276	1421
163	278	1417
164	279	1413
165	280	1411
166	282	1407
167	283	1405
168	285	1402
169	286	1399
170	288	1396
171	289	1394
172	291	1392
173	292	1390
174	294	1387
175	295	1385
176	297	1383
177	299	1381
178	300	1378
179	301	1375
180	303	1373
181	304	1370
182	306	1368
183	307	1365
184	309	1363
185	310	1360
186	312	1357
187	313	1355
188	315	1352
189	316	1349
190	317	1346
191	319	1344
192	320	1341
193	322	1339
194	323	1336
195	325	1333
196	326	1330
197	327	1328
198	329	1325
199	330	1323
200	332	1321
201	333	1319
202	335	1317
203	337	1315
204	338	1312
205	339	1310
206	341	1308
207	342	1305
208	344	1302
209	345	1300
210	347	1297
211	348	1295
212	350	1293
213	351	1290
214	352	1288
215	354	1286
216	355	1284
217	357	1282
218	358	1280
219	360	1277
220	361	1274
221	363	1272
222	364	1270
223	366	1268
224	367	1265
225	369	1263
226	370	1261
227	372	1260
228	373	1258
229	375	1256
230	376	1253
231	378	1251
232	379	1249
233	381	1247
234	382	1245
235	383	1242
236	385	1240
237	386	1237
238	387	1235
239	389	1233
240	390	1231
241	392	1229
242	393	1226
243	395	1224
244	396	1221
245	398	1219
246	399	1217
247	400	1215
248	402	1213
249	403	1211
250	405	1208
251	406	1207
252	408	1205
253	409	1202
254	410	1200
255	412	1197
256	413	1194
257	414	1192
258	415	1189
259	417	1187
260	418	1185
261	420	1183
262	421	1180
263	422	1178
264	423	1175
265	425	1174
266	426	1172
267	428	1170
268	429	1168
269	431	1165
270	432	1164
271	434	1161
272	435	1159
273	436	1157
274	438	1155
275	439	1153
276	441	1151
277	442	1149
278	444	1147
279	445	1145
280	447	1143
281	448	1142
282	450	1140
283	451	1138
284	452	1136
285	454	1134
286	455	1131
287	456	1129
288	458	1127
289	459	1126
290	461	1124
291	463	1122
292	464	1121
293	465	1118
294	467	1116
295	468	1114
296	469	1111
297	471	1109
298	472	1107
299	474	1106
300	475	1104
301	476	1102
302	478	1100
303	479	1097
304	480	1095
305	482	1093
306	483	1091
307	485	1089
308	486	1088
309	487	1086
310	489	1083
311	490	1081
312	492	1080
313	493	1078
314	495	1076
315	496	1074
316	498	1074
317	500	1072
318	501	1070
319	502	1068
320	504	1066
321	505	1064
322	507	1062
323	508	1061
324	510	1059
325	511	1057
326	512	1055
327	514	1053
328	516	1053
329	517	1051
330	519	1049
331	520	1047
332	522	1045
333	523	1043
334	524	1042
335	526	1040
336	528	1039
337	529	1037
338	531	1036
339	532	1034
340	534	1032
341	535	1030
342	536	1028
343	538	1026
344	539	1023
345	540	1021
346	541	1019
347	543	1018
348	544	1016
349	545	1013
350	547	1011
351	548	1009
352	549	1007
353	551	1005
354	552	1003
355	553	1001
356	554	999
357	556	997
358	557	995
359	559	994
360	560	992
361	561	990
362	563	988
363	564	986
364	565	984
365	567	983
366	568	981
367	570	979
368	571	977
369	573	975
370	574	973
371	575	972
372	577	970
373	578	968
374	580	967
375	581	965
376	583	964
377	584	962
378	586	961
379	588	959
380	590	958
381	591	957
382	592	955
383	594	953
384	595	951
385	597	949
386	598	948
387	599	946
388	601	944
389	602	942
390	604	941
391	605	939
392	607	937
393	608	935
394	609	933
395	611	932
396	612	930
397	614	929
398	615	927
399	616	925
400	618	923
401	619	922
402	621	920
403	622	918
404	624	916
405	625	915
406	626	913
407	628	911
408	629	909
409	631	908
410	632	906
411	633	904
412	635	903
413	637	901
414	638	900
415	639	898
416	641	896
417	642	895
418	644	893
419	645	891
420	647	890
421	648	888
422	650	887
423	651	885
424	652	883
425	654	881
426	655	879
427	657	878
428	658	876
429	659	874
430	661	873
431	662	871
432	664	869
433	665	867
434	666	865
435	667	864
436	669	862
437	670	860
438	671	858
439	673	857
440	674	855
441	676	853
442	677	851
443	678	849
444	680	848
445	681	846
446	682	844
447	684	842
448	685	841
449	686	839
450	688	837
451	689	836
452	690	834
453	692	832
454	694	832
455	696	830
456	698	829
457	699	827
458	701	826
459	702	824
460	703	822
461	705	821
462	706	819
463	708	817
464	709	816
465	710	814
466	712	812
467	713	810
468	714	809
469	716	807
470	717	806
471	719	804
472	720	803
473	722	801
474	723	799
475	725	798
476	726	796
477	727	794
478	729	793
479	730	791
480	732	789
481	733	788
482	734	786
483	736	784
484	737	783
485	739	782
486	741	780
487	742	779
488	743	777
489	745	775
490	746	773
491	748	772
492	749	770
493	751	769
494	752	767
495	753	766
496	755	764
497	756	762
498	758	761
499	759	759
500	760	757
501	762	756
502	763	754
503	765	753
504	768	752
505	769	751
506	770	749
507	772	747
508	773	746
509	775	744
510	776	743
511	777	741
512	779	739
513	780	738
514	782	736
515	783	735
516	784	733
517	786	731
518	787	729
519	788	728
520	790	726
521	791	724
522	792	723
523	794	721
524	795	719
525	796	718
526	798	716
527	799	715
528	801	713
529	802	711
530	803	710
531	805	708
532	806	706
533	808	705
534	809	703
535	811	702
536	812	700
537	814	699
538	815	697
539	816	695
540	818	694
541	819	692
542	820	690
543	822	689
544	823	687
545	824	685
546	826	684
547	827	682
548	828	680
549	829	679
550	831	677
551	832	675
552	834	674
553	835	672
554	836	671
555	838	669
556	840	668
557	841	666
558	843	665
559	844	663
560	846	662
561	847	660
562	849	659
563	851	657
564	852	656
565	854	654
566	855	653
567	857	651
568	858	650
569	860	648
570	861	647
571	862	645
572	864	644
573	865	642
574	867	640
575	868	639
576	870	638
577	871	636
578	872	634
579	874	633
580	875	631
581	876	629
582	878	628
583	879	626
584	881	625
585	882	623
586	883	621
587	885	620
588	886	618
589	888	617
590	889	615
591	891	614
592	892	612
593	894	611
594	895	609
595	897	608
596	898	606
597	900	605
598	901	603
599	902	601
600	904	600
601	906	599
602	907	597
603	909	596
604	910	594
605	912	592
606	913	591
607	914	589
608	915	588
609	917	586
610	918	584
611	919	583
612	921	581
613	922	580
614	924	578
615	925	577
616	927	575
617	928	574
618	930	572
619	931	570
620	932	569
621	934	567
622	935	566
623	936	564
624	938	563
625	939	561
626	940	559
627	942	558
628	943	556
629	944	554
630	946	553
631	947	551
632	948	550
633	950	548
634	951	546
635	952	545
636	953	543
637	955	541
638	956	540
639	957	538
640	959	537
641	960	535
642	961	533
643	963	532
644	964	530
645	965	529
646	967	527
647	968	526
648	969	524
649	971	522
650	972	521
651	973	519
652	975	518
653	976	516
654	977	514
655	978	513
656	980	511
657	981	510
658	983	508
659	984	507
660	985	505
661	987	503
662	988	502
663	989	500
664	991	499
665	992	497
666	993	496
667	995	494
668	996	493
669	997	491
670	999	489
671	1000	488
672	1001	486
673	1002	485
674	1004	483
675	1005	481
676	1006	480
677	1007	478
678	1009	477
679	1010	475
680	1012	474
681	1013	472
682	1014	471
683	1016	469
684	1017	468
685	1019	466
686	1020	464
687	1021	463
688	1022	461
689	1024	460
690	1025	458
691	1026	457
692	1028	455
693	1029	453
694	1030	452
695	1031	450
696	1033	449
697	1034	447
698	1035	446
699	1037	444
700	1038	442
701	1039	441
702	1040	439
703	1042	438
704	1043	436
705	1044	435
706	1046	433
707	1047	432
708	1048	430
709	1050	428
710	1051	427
711	1053	425
712	1054	424
713	1055	422
714	1056	421
715	1058	419
716	1059	418
717	1060	416
718	1062	415
719	1063	413
720	1064	411
721	1066	410
722	1067	408
723	1068	407
724	1069	405
725	1070	404
726	1072	402
727	1073	401
728	1074	399
729	1076	398
730	1077	396
731	1078	394
732	1079	393
733	1081	391
734	1082	390
735	1084	388
736	1085	387
737	1086	385
738	1088	384
739	1089	382
740	1090	381
741	1092	379
742	1093	378
743	1094	376
744	1096	375
745	1097	373
746	1098	372
747	1100	370
748	1101	369
749	1102	367
750	1104	366
751	1105	364
752	1106	363
753	1107	361
754	1109	360
755	1110	358
756	1112	356
757	1113	355
758	1114	353
759	1115	352
760	1116	350
761	1118	349
762	1119	347
763	1121	346
764	1122	344
765	1123	343
766	1125	341
767	1126	340
768	1127	338
769	1129	337
770	1130	335
771	1132	334
772	1133	332
773	1135	331
774	1136	329
775	1137	328
776	1138	326
777	1139	325
778	1141	323
779	1142	322
780	1144	320
781	1145	319
782	1146	317
783	1148	316
784	1149	314
785	1150	313
786	1151	311
787	1153	310
788	1154	308
789	1156	307
790	1157	305
791	1158	304
792	1160	302
793	1161	301
794	1163	299
795	1164	298
796	1165	296
797	1167	295
798	1168	293
799	1169	292
800	1171	290
801	1172	289
802	1174	288
803	1175	286
804	1176	285
805	1178	283
806	1179	282
807	1180	280
808	1182	279
809	1183	277
810	1184	276
811	1186	274
812	1187	273
813	1188	271
814	1189	270
815	1191	268
816	1192	267
817	1194	265
818	1195	264
819	1196	262
820	1198	261
821	1199	259
822	1200	258
823	1202	256
824	1203	255
825	1204	253
826	1205	252
827	1207	250
828	1208	249
829	1210	247
830	1211	246
831	1212	244
832	1214	243
833	1216	242
834	1217	240
835	1219	239
836	1220	237
837	1221	236
838	1222	234
839	1224	233
840	1225	231
841	1226	230
842	1228	228
843	1229	227
844	1230	225
845	1232	224
846	1233	222
847	1235	221
848	1236	219
849	1237	218
850	1239	216
851	1240	215
852	1241	214
853	1243	212
854	1244	211
855	1245	209
856	1247	208
857	1248	206
858	1249	205
859	1251	203
860	1252	202
861	1253	200
862	1255	199
863	1256	197
864	1257	196
865	1258	194
866	1260	193
867	1261	191
868	1263	190
869	1264	188
870	1265	187
871	1267	185
872	1268	184
873	1269	183
874	1271	181
875	1272	180
876	1274	178
877	1275	177
878	1277	175
879	1278	174
880	1280	172
881	1281	171
882	1283	170
883	1285	168
884	1286	167
885	1288	165
886	1289	164
887	1290	162
888	1292	161
889	1293	159
890	1294	158
891	1296	156
892	1297	155
893	1298	154
894	1300	152
895	1301	151
896	1302	149
897	1304	148
898	1305	146
899	1306	145
900	1308	143
901	1309	142
902	1310	140
903	1311	139
904	1313	137
905	1314	136
906	1315	134
907	1317	133
908	1318	131
909	1319	130
910	1321	129
911	1322	127
912	1323	126
913	1325	124
914	1326	123
915	1327	121
916	1328	120
917	1330	118
918	1331	117
919	1332	115
920	1334	114
921	1335	112
922	1336	111
923	1337	110
924	1339	108
925	1340	107
926	1341	105
927	1343	104
928	1344	102
929	1345	101
930	1347	99
931	1348	98
932	1350	96
933	1351	95
934	1352	94
935	1354	92
936	1355	91
937	1356	89
938	1358	88
939	1359	86
940	1360	85
941	1362	83
942	1363	82
943	1364	80
944	1366	79
945	1367	78
946	1369	76
947	1370	75
948	1371	73
949	1372	72
950	1373	70
951	1375	69
952	1376	67
953	1377	66
954	1378	64
955	1380	63
956	1381	62
957	1382	60
958	1384	59
959	1385	57
960	1386	56
961	1388	54
962	1389	53
963	1390	51
964	1391	50
965	1392	49
966	1394	47
967	1395	46
968	1396	44
969	1397	43
970	1399	41
971	1401	40
972	1402	38
973	1404	37
974	1405	36
975	1406	34
976	1408	33
977	1409	31
978	1410	30
979	1411	28
980	1413	27
981	1414	25
982	1416	24
983	1417	23
984	1418	21
985	1420	20
986	1421	18
987	1422	17
988	1424	15
989	1425	14
990	1427	12
991	1428	11
992	1429	10
993	1431	8
994	1432	7
995	1433	5
996	1435	4
997	1436	2
998	1437	1
999	1439	0
